Date,Month,Year,yearmonth,monthyear,Period,yearPeriod,BP_Price,Average_Price,Sales,Inflation,Facebook_Spend,Employment,Amazon_Spend,Instacart_Spend
29/03/2021,3,2021,202103,32021,4,20214,3.19,3.205,22.22,0.5,2601,6.1,42.03571429,0
30/03/2021,3,2021,202103,32021,4,20214,3.19,3.205,22.22,0.5,2601,6.1,42.03571429,0
31/03/2021,3,2021,202103,32021,4,20214,3.19,3.205,22.22,0.5,2601,6.1,42.03571429,0
1/4/2021,4,2021,202104,42021,4,20214,3.19,3.205,22.22,0.7,2601,6.1,42.03571429,0
2/4/2021,4,2021,202104,42021,4,20214,3.19,3.205,22.22,0.7,2601,6.1,42.03571429,0
3/4/2021,4,2021,202104,42021,4,20214,3.19,3.205,22.22,0.7,2601,6.1,42.03571429,0
4/4/2021,4,2021,202104,42021,4,20214,3.19,3.205,22.22,0.7,2601,6.1,42.03571429,0
5/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
6/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
7/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
8/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
9/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
10/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
11/4/2021,4,2021,202104,42021,4,20214,3.02,3.2125,22.22,0.7,2601,6.1,42.03571429,0
12/4/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
13/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
14/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
15/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
16/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
17/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
18/04/2021,4,2021,202104,42021,4,20214,2.91,3.3,22.22,0.7,2601,6.1,42.03571429,0
19/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,22.22,0.7,2601,6.1,42.03571429,0
20/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,22.22,0.7,2601,6.1,42.03571429,0
21/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,22.22,0.7,2601,6.1,42.03571429,0
22/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,18.4,0.7,2601,6.1,42.03571429,0
23/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,18.4,0.7,2601,6.1,42.03571429,0
24/04/2021,4,2021,202104,42021,4,20214,3.1,3.3625,18.4,0.7,2601,6.1,42.03571429,0
25/04/2021,4,2021,202104,42021,5,20215,3.1,3.3625,18.4,0.7,3145.214286,6.1,36.25,0
26/04/2021,4,2021,202104,42021,5,20215,3.25,3.435,18.4,0.7,3145.214286,6.1,36.25,0
27/04/2021,4,2021,202104,42021,5,20215,3.25,3.435,18.4,0.7,3145.214286,6.1,36.25,0
28/04/2021,4,2021,202104,42021,5,20215,3.25,3.435,18.4,0.7,3145.214286,6.1,36.25,0
